127.0.0.1 - - [23/Aug/2020:10:00:27 +0900] "GET / HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:00:28 +0900] "GET /jeju/index.jsp HTTP/1.1" 200 4884
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:00:28 +0900] "GET /jeju/css/jquery.bxslider.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:00:28 +0900] "GET /jeju/css/frame.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:00:28 +0900] "GET /jeju/img/logo.png HTTP/1.1" 200 10040
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:00:28 +0900] "GET /jeju/img/ad03.jpg HTTP/1.1" 200 53207
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:00:28 +0900] "GET /jeju/img/ad01.jpg HTTP/1.1" 200 39228
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:00:28 +0900] "GET /jeju/img/ad02.jpg HTTP/1.1" 200 38960
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:00:28 +0900] "GET /jeju/js/jquery.bxslider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:00:28 +0900] "GET /jeju/js/jquery-1.12.4.js HTTP/1.1" 200 304438
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:00:29 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:01:25 +0900] "GET /jeju/index.jsp HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:01:25 +0900] "GET /jeju/css/images/bx_loader.gif HTTP/1.1" 200 8581
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:01:25 +0900] "GET /jeju/css/images/controls.png HTTP/1.1" 200 2806
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:02:12 +0900] "GET /jeju/index.jsp HTTP/1.1" 200 4280
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:02:20 +0900] "GET /jeju/login/elogin.bit HTTP/1.1" 200 4152
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:02:27 +0900] "POST /jeju/login/elogin.bit HTTP/1.1" 200 4851
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:03:12 +0900] "POST /jeju/login/elogin.bit HTTP/1.1" 200 5201
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:05:08 +0900] "GET /jeju/opencourse.bit HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:05:13 +0900] "GET /jeju/lms/mytask.bit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:05:13 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:05:17 +0900] "GET /jeju/index.bit HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:06:43 +0900] "GET /jeju/lms/mytask.bit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:06:43 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:07:22 +0900] "GET /jeju/lms/mytask.bit HTTP/1.1" 302 -
